,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PACE,PIE
344,Rasheed Wallace,BOS,35.0,92.77,0.092
345,Rasho Nesterovic,TOR,34.0,97.5,0.081
346,Rasual Butler,LAC,31.0,95.65,0.067
347,Ray Allen,BOS,34.0,94.16,0.103
348,Raymond Felton,CHA,26.0,93.25,0.113
349,Reggie Evans,TOR,30.0,95.43,0.08
350,Reggie Williams,GSW,23.0,102.9,0.101
351,Renaldo Balkman,DEN,25.0,100.51,0.041
352,Richard Hamilton,DET,32.0,91.8,0.092
353,Richard Jefferson,SAS,30.0,93.1,0.092
354,Ricky Davis,LAC,30.0,93.44,0.062
355,Robin Lopez,PHX,22.0,98.45,0.097
356,Rodney Carney,PHI,26.0,94.07,0.083
357,Rodney Stuckey,DET,24.0,90.85,0.105
358,Rodrigue Beaubois,DAL,22.0,97.77,0.108
359,Roger Mason Jr.,SAS,29.0,93.82,0.075
360,Roko Leni Ukic,MIL,25.0,92.91,0.075
361,Ronald Murray,CHI,30.0,93.74,0.081
362,Ronnie Brewer,MEM,25.0,95.49,0.087
363,Ronnie Price,UTA,27.0,95.81,0.064
364,Ronny Turiaf,GSW,27.0,102.19,0.078
365,Roy Hibbert,IND,23.0,98.61,0.098
366,Royal Ivey,MIL,28.0,94.53,0.067
367,Rudy Fernandez,POR,25.0,90.91,0.095
368,Rudy Gay,MEM,23.0,96.02,0.101
369,Russell Westbrook,OKC,21.0,96.62,0.12
370,Ryan Anderson,ORL,22.0,94.54,0.117
371,Ryan Bowen,OKC,34.0,107.18,0.184
372,Ryan Gomes,MIN,27.0,98.03,0.081
373,Ryan Hollins,MIN,25.0,98.89,0.053
374,Sam Young,MEM,25.0,96.44,0.082
375,Samuel Dalembert,PHI,30.0,93.28,0.117
376,Sasha Pavlovic,MIN,26.0,100.43,0.038
377,Sasha Vujacic,LAL,26.0,96.0,0.069
378,Sean Marks,NOH,34.0,99.93,0.014
379,Sean May,SAC,26.0,94.13,0.074
380,Sean Williams,NJN,23.0,96.49,0.013
381,Sebastian Telfair,CLE,25.0,92.4,0.077
382,Serge Ibaka,OKC,20.0,94.19,0.105
383,Sergio Rodriguez,NYK,24.0,98.15,0.098
384,Shane Battier,HOU,31.0,95.01,0.077
385,Shannon Brown,LAL,24.0,94.83,0.083
386,Shaquille O'Neal,CLE,38.0,93.08,0.114
387,Shaun Livingston,WAS,24.0,92.59,0.093
388,Shavlik Randolph,MIA,26.0,87.76,0.026
389,Shawn Marion,DAL,32.0,94.8,0.096
390,Shelden Williams,BOS,26.0,92.35,0.097
391,Solomon Jones,IND,25.0,101.3,0.049
392,Sonny Weems,TOR,23.0,95.95,0.08
393,Spencer Hawes,SAC,22.0,96.51,0.09
394,Stephen Curry,GSW,22.0,103.5,0.107
395,Stephen Graham,CHA,28.0,93.19,0.088
396,Stephen Jackson,CHA,32.0,94.47,0.108
397,Steve Blake,LAC,30.0,92.02,0.088
398,Steve Nash,PHX,36.0,98.95,0.155
399,Steve Novak,LAC,27.0,95.9,0.056
400,Steven Hunter,MEM,28.0,99.31,0.069
401,Sundiata Gaines,UTA,24.0,96.02,0.133
402,T.J. Ford,IND,27.0,99.08,0.096
403,Taj Gibson,CHI,25.0,94.89,0.086
404,Taylor Griffin,PHX,24.0,93.76,0.01
405,Tayshaun Prince,DET,30.0,89.51,0.11
406,Terrence Williams,NJN,23.0,93.91,0.099
407,Thabo Sefolosha,OKC,26.0,96.36,0.071
408,Thaddeus Young,PHI,22.0,94.4,0.088
409,Theo Ratliff,CHA,37.0,90.09,0.055
410,Tim Duncan,SAS,34.0,93.05,0.18
411,Tim Thomas,DAL,33.0,92.89,0.082
412,Toney Douglas,NYK,24.0,96.79,0.083
413,Tony Allen,BOS,28.0,94.74,0.091
414,Tony Battie,NJN,34.0,96.3,0.034
415,Tony Parker,SAS,28.0,94.19,0.116
416,Tracy McGrady,NYK,31.0,95.12,0.078
417,Travis Diener,POR,28.0,102.56,0.038
418,Travis Outlaw,LAC,25.0,94.9,0.091
419,Trenton Hassell,NJN,31.0,93.71,0.041
420,Trevor Ariza,HOU,24.0,96.75,0.093
421,Trey Gilder,MEM,25.0,104.44,1.0
422,Troy Murphy,IND,30.0,99.04,0.147
423,Ty Lawson,DEN,22.0,98.68,0.11
424,Tyler Hansbrough,IND,24.0,98.78,0.086
425,Tyreke Evans,SAC,20.0,96.07,0.131
426,Tyrus Thomas,CHA,23.0,95.94,0.125
427,Tyson Chandler,CHA,27.0,92.66,0.09
428,Udonis Haslem,MIA,30.0,91.25,0.123
429,Vince Carter,ORL,33.0,93.89,0.119
430,Vladimir Radmanovic,GSW,29.0,101.23,0.053
431,Wayne Ellington,MIN,22.0,98.81,0.071
432,Wesley Matthews,UTA,23.0,95.7,0.078
433,Will Bynum,DET,27.0,91.26,0.093
434,Will Conroy,HOU,27.0,92.48,-0.016
435,Willie Green,PHI,28.0,93.57,0.084
436,Wilson Chandler,NYK,23.0,95.83,0.088
437,Yakhouba Diawara,MIA,27.0,94.37,-0.046
438,Yi Jianlian,NJN,22.0,92.81,0.073
439,Zach Randolph,MEM,28.0,95.6,0.141
440,Zaza Pachulia,ATL,26.0,93.41,0.07
441,Zydrunas Ilgauskas,CLE,35.0,92.45,0.077
